"","Reading","Cinema","Show","Exhibition","Computer","Sport","Walking","Travelling","Collecting","Volunteering","Mechanic","Gardening","Knitting","Cooking","Fishing","Sex","Age","Marital status","Profession"
"137","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","M","(45,55]","Divorcee","Management"
"138","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","F","(45,55]","Married","Management"
"139","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(65,75]","Married","Management"
"140","Yes","No","No","No","No","No","No","Yes","No","Yes","No","No","No","Yes","No","M","(55,65]","Divorcee","Employee"
"141","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","M","(75,85]","Remarried","Technician"
"142","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","M","(25,35]","Single","Employee"
"143","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","M","(25,35]","Single","Management"
"144","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","M","[15,25]","Single","Manual labourer"
"145","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","M","(25,35]","Single","Employee"
"146","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","F","(25,35]","Single","Foreman"
"147","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","F","(25,35]","Divorcee","Employee"
"148","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","M","(35,45]","Married","Manual labourer"
"149","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","F","(45,55]","Married","Employee"
"150","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","M","(25,35]","Single","Management"
"151","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","M","(35,45]","Married","Foreman"
"152","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","M","(35,45]","Single","Management"
"153","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","F","(35,45]","Single","Foreman"
"154","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","F","[15,25]","Single","Foreman"
"155","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(65,75]","Married","Unskilled worker"
"156","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","M","(45,55]","Married","Employee"
"157","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","M","(35,45]","Single","Foreman"
"158","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","F","(25,35]","Single","Foreman"
"159","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","F","(25,35]","Married","Technician"
"160","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(85,100]","Widower","Employee"
"161","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","F","(35,45]","Single","Employee"
"162","No","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","M","(25,35]","Married","Management"
"163","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(55,65]","Married","Employee"
"164","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(65,75]","Widower","Employee"
"165","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","F","(45,55]","Married","Employee"
"166","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","F","(25,35]","Married","Employee"
"167","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","F","(45,55]","Divorcee","Foreman"
"168","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","M","(35,45]","Married","Management"
"169","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","M","(55,65]","Married","Employee"
"170","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","F","(85,100]","Single","Employee"
"171","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","M","(55,65]","Married","Management"
"172","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","M","(55,65]","Married","Management"
"173","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","M","(35,45]","Married","Management"
"174","Yes","No","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","M","(35,45]","Married","Management"
"175","Yes","No","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","M","(35,45]","Married","Management"
"176","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","M","(25,35]","Married","Unskilled worker"
"177","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(25,35]","Married","Employee"
"178","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","M","(25,35]","Married","Management"
"179","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","M","(25,35]","Single","Employee"
"180","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","F","(55,65]","Married","Employee"
"181","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","F","(45,55]","Married","Employee"
"182","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","F","(45,55]","Married","Foreman"
"183","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","M","(65,75]","Married","Employee"
"184","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No","M","(45,55]","Married","Manual labourer"
"185","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","F","(25,35]","Single","Manual labourer"
"186","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","F","(35,45]","Married","Employee"
"187","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","M","(55,65]","Remarried","Management"
"188","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","M","[15,25]","Single","Employee"
"189","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","[15,25]","Single","Employee"
"190","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","F","(45,55]","Married","Foreman"
"191","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","No","M","(35,45]","Single","Manual labourer"
"192","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","M","(55,65]","Remarried","Management"
"193","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","F","(65,75]","Married","Employee"
"194","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","F","(55,65]","Divorcee","Management"
"195","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","F","[15,25]","Single","Employee"
"196","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(65,75]","Married","Unskilled worker"
"197","Yes","No","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","F","(45,55]","Married","Employee"
"198","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","F","(35,45]","Married","Manual labourer"
"199","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","M","(25,35]","Remarried","Employee"
"200","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","M","(55,65]","Married","Manual labourer"
"201","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes","No","M","(45,55]","Single","Manual labourer"
"202","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","M","(25,35]","Married","Management"
"203","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","F","(55,65]","Divorcee","Employee"
"204","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","F","(35,45]","Divorcee","Foreman"
"205","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","F","(35,45]","Married","Foreman"
"206","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","F","(45,55]","Divorcee","Employee"
"207","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","No","M","(45,55]","Married","Unskilled worker"
"208","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","F","(25,35]","Married","Employee"
"209","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","F","(25,35]","Married","Management"
"210","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","M","[15,25]","Single","Manual labourer"
"211","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","M","(65,75]","Married","Management"
"212","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes","No","No","F","(35,45]","Married","Employee"
"213","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","F","(85,100]","Widower","Management"
"214","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","M","[15,25]","Single","Unskilled worker"
"215","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","F","(55,65]","Single","Employee"
"216","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","M","[15,25]","Single","Employee"
"217","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","M","(45,55]","Divorcee","Unskilled worker"
"218","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","M","[15,25]","Single","Unskilled worker"
"219","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","F","(65,75]","Widower","Employee"
"220","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","M","(55,65]","Married","Technician"
"221","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","F","[15,25]","Single","Unskilled worker"
"222","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No","F","(45,55]","Married","Employee"
"223","Yes","Yes","No","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","F","(45,55]","Married","Employee"
"224","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","M","(25,35]","Single","Management"
"225","No","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","Yes","No","M","(45,55]","Married","Employee"
"226","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","F","(25,35]","Single","Technician"
"227","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","F","(55,65]","Married","Management"
